origin_airport_icao,origin_airport_iata,origin_airport_name,origin_city,region,country_code,origin_lat,origin_long,timezone,destination_airport_icao,destination_airport_iata,destination_airport_name,destination_airport_shortName,destination_airport_municipalityName,dest_lat,dest_long,destination_airport_countryCode,daily_flights,flight_time
EDDB,BER,Berlin Brandenburg Airport,Berlin,Brandenburg,DE,52.362167,13.500667,Europe/Berlin,EGPF,GLA,Glasgow,Glasgow,Glasgow,55.8719,-4.43306,GB,0.29,02:20:00
EDDB,BER,Berlin Brandenburg Airport,Berlin,Brandenburg,DE,52.362167,13.500667,Europe/Berlin,LCLK,LCA,Larnaca,Larnarca,Larnaca,34.8751,33.6249,CY,0.29,03:45:00
EDDB,BER,Berlin Brandenburg Airport,Berlin,Brandenburg,DE,52.362167,13.500667,Europe/Berlin,LYPR,PRN,Pri?tina,Prishtina,Pri?tina,42.5728,21.0358,KS,0.29,02:30:00
EDDB,BER,Berlin Brandenburg Airport,Berlin,Brandenburg,DE,52.362167,13.500667,Europe/Berlin,HEMA,RMF,Marsa Alam,Marsa Alam,Marsa Alam,25.5571,34.5837,EG,0.14,04:55:00
EDDH,HAM,Hamburg Airport,Hamburg,Hamburg,DE,53.63040161,9.988229752,Europe/Berlin,LOWS,SZG,Salzburg,Salzburg,LOWS,47.7933,13.0043,AT,1.71,01:20:00
EDDH,HAM,Hamburg Airport,Hamburg,Hamburg,DE,53.63040161,9.988229752,Europe/Berlin,EGCC,MAN,Manchester,Manchester,EGCC,53.3537,-2.27495,GB,0.86,01:40:00
EDDH,HAM,Hamburg Airport,Hamburg,Hamburg,DE,53.63040161,9.988229752,Europe/Berlin,EGPH,EDI,Edinburgh,Edinburgh,EGPH,55.95,-3.372499,GB,0.57,01:50:00
EDDM,MUC,Munich International Airport,Munich,Bayern,DE,48.35380173,11.78610039,Europe/Berlin,EGCC,MAN,Manchester,Manchester,EGCC,53.3537,-2.27495,GB,3.29,02:05:00
EDDM,MUC,Munich International Airport,Munich,Bayern,DE,48.35380173,11.78610039,Europe/Berlin,EGPH,EDI,Edinburgh,Edinburgh,EGPH,55.95,-3.372499,GB,0.29,02:20:00
EDNY,FDH,Friedrichshafen Airport,Friedrichshafen,Baden-W?rttemberg,DE,47.67129898,9.511489868,Europe/Berlin,LGW,London Gatwick,London,Gatwick,LGW,51.1481,-0.190277,GB,0.14,01:45:00
