origin_airport;destination_airport_icao;destination_airport_iata;destination_airport_name;destination_airport_shortName;destination_airport_municipalityName;destination_airport_location;destination_airport_countryCode;daily_flights;0;1;2;3;4;5;6;7;8;9
EDDB;LPMA;FNC;Madeira, Funchal;Madeira;Funchal;{'lat': 32.6979, 'lon': -16.7745};PT;0.57;EDDB;BER;Berlin Brandenburg Airport;Berlin;Brandenburg;DE;52.362167;13.500667;Europe/Berlin;
EDDB;LFMN;NCE;Nice-Cï¿½te d'Azur, Nice;Cï¿½te d'Azur;Nice;{'lat': 43.6584, 'lon': 7.215869};FR;0.57;EDDB;BER;Berlin Brandenburg Airport;Berlin;Brandenburg;DE;52.362167;13.500667;Europe/Berlin;
EDDB;LEVC;VLC;Valencia, Valencia;Valencia;LEVC;{'lat': 39.4893, 'lon': -0.481624};ES;0.57;EDDB;BER;Berlin Brandenburg Airport;Berlin;Brandenburg;DE;52.362167;13.500667;Europe/Berlin;
EDDB;OJAQ;AQJ;Aqaba King Hussein, Aqaba;King Hussein;Aqaba;{'lat': 29.6116, 'lon': 35.0181};JO;0.29;EDDB;BER;Berlin Brandenburg Airport;Berlin;Brandenburg;DE;52.362167;13.500667;Europe/Berlin;
EDDB;EGGD;BRS;Bristol, Bristol;Bristol;EGGD;{'lat': 51.3827, 'lon': -2.719089};GB;0.29;EDDB;BER;Berlin Brandenburg Airport;Berlin;Brandenburg;DE;52.362167;13.500667;Europe/Berlin;
EDDB;EGPF;GLA;Glasgow, Glasgow;Glasgow;EGPF;{'lat': 55.8719, 'lon': -4.43306};GB;0.29;EDDB;BER;Berlin Brandenburg Airport;Berlin;Brandenburg;DE;52.362167;13.500667;Europe/Berlin;
EDDB;LCLK;LCA;Larnaca, Larnarca;Larnaca;Larnarca;{'lat': 34.8751, 'lon': 33.6249};CY;0.29;EDDB;BER;Berlin Brandenburg Airport;Berlin;Brandenburg;DE;52.362167;13.500667;Europe/Berlin;
EDDB;LYPR;PRN;Priï¿½tina, Prishtina;Priï¿½tina;Prishtina;{'lat': 42.5728, 'lon': 21.0358};KS;0.29;EDDB;BER;Berlin Brandenburg Airport;Berlin;Brandenburg;DE;52.362167;13.500667;Europe/Berlin;
EDDB;HEMA;RMF;Marsa Alam, Marsa Alam;Marsa Alam;HEMA;{'lat': 25.5571, 'lon': 34.5837};EG;0.14;EDDB;BER;Berlin Brandenburg Airport;Berlin;Brandenburg;DE;52.362167;13.500667;Europe/Berlin;
EDDH;LOWS;SZG;Salzburg, Salzburg;LOWS;Salzburg;{'lat': 47.7933, 'lon': 13.0043};AT;1.71;EDDH;HAM;Hamburg Airport;Hamburg;Hamburg;DE;53.6304016113;9.9882297516;Europe/Berlin;
EDDH;EGCC;MAN;Manchester, Manchester;EGCC;Manchester;{'lat': 53.3537, 'lon': -2.27495};GB;0.86;EDDH;HAM;Hamburg Airport;Hamburg;Hamburg;DE;53.6304016113;9.9882297516;Europe/Berlin;
EDDH;EGPH;EDI;Edinburgh, Edinburgh;EGPH;Edinburgh;{'lat': 55.95, 'lon': -3.372499};GB;0.57;EDDH;HAM;Hamburg Airport;Hamburg;Hamburg;DE;53.6304016113;9.9882297516;Europe/Berlin;
EDDM;EGCC;MAN;Manchester, Manchester;EGCC;Manchester;{'lat': 53.3537, 'lon': -2.27495};GB;3.29;EDDM;MUC;Munich International Airport;Munich;Bayern;DE;48.3538017273;11.7861003876;Europe/Berlin;
EDDM;EGPH;EDI;Edinburgh, Edinburgh;EGPH;Edinburgh;{'lat': 55.95, 'lon': -3.372499};GB;0.29;EDDM;MUC;Munich International Airport;Munich;Bayern;DE;48.3538017273;11.7861003876;Europe/Berlin;
EDNY;LGW;London Gatwick, London;Gatwick;LGW;London;{'lat': 51.1481, 'lon': -0.190277};GB;0.14;EDNY;FDH;Friedrichshafen Airport;Friedrichshafen;Baden-Württemberg;DE;47.6712989807;9.5114898682;Europe/Berlin;
EFRO;EGKK;LGW;London Gatwick, London;Gatwick;London;{'lat': 51.1481, 'lon': -0.190277};GB;0.29;EFRO;RVN;Rovaniemi Airport;Rovaniemi;Lapland;FI;66.5647964478;25.8304004669;Europe/Helsinki;
EGAA;EGKK;LGW;London Gatwick, London;Gatwick;London;{'lat': 51.1481, 'lon': -0.190277};GB;4.86;EGAA;BFS;Belfast International Airport;Belfast;Northern Ireland;GB;54.6575012207;-6.2158298492;Europe/London;
EGAA;EGGW;LTN;London Luton, London;Luton;London;{'lat': 51.8747, 'lon': -0.368333};GB;4.0;EGAA;BFS;Belfast International Airport;Belfast;Northern Ireland;GB;54.6575012207;-6.2158298492;Europe/London;
