,aircraft_code,airline_iata,airline_icao,altitude,callsign,destination_airport_iata,ground_speed,heading,icao_24bit,id,latitude,longitude,number,on_ground,origin_airport_iata,registration,squawk,time,vertical_speed,get_altitude,get_flight_level,get_ground_speed,get_heading,get_vertical_speed
144,A320,U2,EZY,35000,EJU91XC,BER,376,23,440145,2f7f2c5a,47.19,11.125,U24662,0,LIN,OE-IZS,N/A,1678635124,0,35000 ft,350 FL,376 kts,23°,0 fpm
145,A319,U2,EZY,35025,EJU16KL,BER,480,84,44033E,2f7f2d35,52.4512,8.8312,U25106,0,AMS,OE-LQA,N/A,1678635124,0,35025 ft,350 FL,480 kts,84°,0 fpm
146,A319,U2,EZY,27000,EZY82RB,AMS,425,70,400EFB,2f7f2de1,52.0477,1.6513,U26165,0,BRS,G-EZBA,N/A,1678635123,0,27000 ft,270 FL,425 kts,70°,0 fpm
147,A20N,U2,EZY,30450,EZY92AL,KRK,491,101,40756A,2f7f2e27,51.1767,1.8607,U26525,0,LGW,G-UZHK,N/A,1678635122,1600,30450 ft,304 FL,491 kts,101°,1600 fpm
148,A319,U2,EZY,0,EJU16RW,VCE,0,104,44009E,2f7f2e38,45.719,5.0832,U24465,1,LYS,OE-LKO,N/A,1678635119,0,0 ft,0 ft,0 kt,104°,0 fpm
149,A320,EC,EZY,38000,EJU9043,CDG,402,228,44003E,2f7f2e7e,54.0549,9.5379,EC9043,0,CPH,OE-ICS,N/A,1678635124,0,38000 ft,380 FL,402 kts,228°,0 fpm
150,A320,U2,EZY,32300,EZY98ZJ,GVA,509,139,406A95,2f7f2f10,49.7834,0.9038,U28474,0,LGW,G-EZWU,N/A,1678635122,1152,32300 ft,323 FL,509 kts,139°,1152 fpm
151,A320,U2,EZY,36000,EJU3820,CDG,368,314,440209,2f7f2f93,43.1689,11.7442,U23820,0,NAP,OE-IZH,N/A,1678635124,-64,36000 ft,360 FL,368 kts,314°,-64 fpm
152,A319,U2,EZY,28000,EZY879E,BFS,383,308,40631A,2f7f309c,53.7895,-3.5322,U2443,0,BRS,G-EZFV,N/A,1678635124,-64,28000 ft,280 FL,383 kts,308°,-64 fpm
153,A319,U2,EZY,31025,EJU318H,OLB,499,153,440631,2f7f30e3,44.3815,10.2212,U22909,0,MXP,OE-LQB,N/A,1678635122,64,31025 ft,310 FL,499 kts,153°,64 fpm
154,A320,U2,EZY,32000,EZY873Y,BFS,362,330,40622F,2f7f318f,53.0551,-1.6895,U2185,0,LTN,G-EZTX,N/A,1678635124,0,32000 ft,320 FL,362 kts,330°,0 fpm
155,A320,U2,EZY,32850,EZS84DL,GVA,352,330,4B1A2B,2f7f31d7,38.1069,14.0115,U21562,0,CTA,HB-JXR,N/A,1678635122,1856,32850 ft,328 FL,352 kts,330°,1856 fpm
156,A320,U2,EZY,25750,EZY517,BHX,470,154,406FD8,2f7f3212,53.8412,-2.8671,U2517,0,GLA,G-EZPB,N/A,1678635122,-2240,25750 ft,257 FL,470 kts,154°,-2240 fpm
157,A319,U2,EZY,35500,EZY95BA,EDI,342,323,405636,2f7f3240,47.2651,4.7776,U26908,0,GVA,G-EZDH,N/A,1678635124,1280,35500 ft,355 FL,342 kts,323°,1280 fpm
158,A20N,U2,EZY,32550,EJU93PL,MXP,479,64,440C83,2f7f32cc,39.4694,-7.4674,U22720,0,LIS,OE-LSM,N/A,1678635122,1152,32550 ft,325 FL,479 kts,64°,1152 fpm
159,A320,U2,EZY,33325,EJU573U,BDS,482,105,440019,2f7f32fd,45.3434,11.3667,U22825,0,MXP,OE-ICF,N/A,1678635124,320,33325 ft,333 FL,482 kts,105°,320 fpm
160,A319,U2,EZY,3550,EZY640,LPL,250,91,400CD8,2f7f3314,53.4422,-2.8909,U2640,0,IOM,G-EZIY,N/A,1678635123,-512,3550 ft,3550 ft,250 kts,91°,-512 fpm
161,A319,U2,EZY,24975,EZY56WP,JER,348,206,40631B,2f7f3333,50.8021,-1.4667,U22311,0,LTN,G-EZFW,N/A,1678635122,-64,24975 ft,249 FL,348 kts,206°,-64 fpm
162,A319,U2,EZY,0,EJU158J,LYS,0,194,440589,2f7f343a,44.8282,-0.697,U24308,1,BOD,OE-LQM,N/A,1678635124,0,0 ft,0 ft,0 kt,194°,0 fpm
163,A319,U2,EZY,30175,EZY36XM,LGW,416,173,405B66,2f7f344a,54.9045,-3.3843,U2808,0,EDI,G-EZDM,N/A,1678635122,1216,30175 ft,301 FL,416 kts,173°,1216 fpm
164,A20N,U2,EZY,24975,EZY62GW,CDG,458,148,407568,2f7f344d,50.3402,0.6202,U28327,0,LGW,G-UZHI,N/A,1678635121,0,24975 ft,249 FL,458 kts,148°,0 fpm
165,A320,U2,EZY,23975,EZY592A,BFS,326,304,406B90,2f7f346f,53.7524,-3.8647,U2135,0,MAN,G-EZWX,N/A,1678635123,0,23975 ft,239 FL,326 kts,304°,0 fpm
166,A320,U2,EZY,31000,EJU309Z,TLS,440,152,440031,2f7f347b,45.7642,-0.4442,U23652,0,NTE,OE-IVC,N/A,1678635123,0,31000 ft,310 FL,440 kts,152°,0 fpm
167,A319,U2,EZY,0,EZY82JF,MRS,82,255,400FE0,2f7f35b4,51.1503,-0.1747,U28727,1,LGW,G-EZBO,N/A,1678635122,0,0 ft,0 ft,82 kts,255°,0 fpm
168,A319,U2,EZY,4675,EZY697L,BFS,229,257,406319,2f7f35d8,51.1175,-0.4064,U2835,0,LGW,G-EZFU,N/A,1678635122,1984,4675 ft,4675 ft,229 kts,257°,1984 fpm
169,A319,U2,EZY,31825,EJU42NM,BCN,478,175,440181,2f7f3624,47.7313,2.2871,U23919,0,CDG,OE-LQG,N/A,1678635123,1728,31825 ft,318 FL,478 kts,175°,1728 fpm
170,A319,U2,EZY,29300,EJU72TA,ARN,408,35,4405EA,2f7f3682,53.0845,14.1835,U25215,0,BER,OE-LQT,N/A,1678635122,704,29300 ft,293 FL,408 kts,35°,704 fpm
171,A320,U2,EZY,775,EZY68XT,BRS,158,68,406E69,2f7f369b,41.2945,2.1115,U26026,0,BCN,G-EZOX,N/A,1678635123,2880,775 ft,775 ft,158 kts,68°,2880 fpm
172,A320,U2,EZY,13600,EZY13TC,ATH,388,79,40756F,2f7f36e5,51.3253,0.5141,U28087,0,LGW,G-EZGY,N/A,1678635124,2304,13600 ft,136 FL,388 kts,79°,2304 fpm
173,A320,U2,EZY,0,EJU49VR,BOD,0,109,440185,2f7f37e1,41.2398,-8.6728,U27482,1,OPO,OE-IJI,N/A,1678635124,0,0 ft,0 ft,0 kt,109°,0 fpm
174,A319,U2,EZY,25075,EJU84KB,MXP,498,65,44064A,2f7f38ea,39.342,-7.8429,U22718,0,LIS,OE-LQL,N/A,1678635121,1984,25075 ft,250 FL,498 kts,65°,1984 fpm
175,A20N,U2,EZY,0,EZY6191,N/A,0,357,4073A0,2f7f392e,51.3857,-2.716,U26191,1,BRS,G-UZHC,N/A,1678635110,0,0 ft,0 ft,0 kt,357°,0 fpm
176,A320,U2,EZY,19800,EZS73YV,BSL,304,340,4B1A1B,2f7f3b1b,38.6098,12.7501,U21224,0,PMO,HB-JXB,N/A,1678635122,2752,19800 ft,198 FL,304 kts,340°,2752 fpm
177,A319,U2,EZY,8950,EJU89NM,STN,240,251,44061B,2f7f3bcc,52.214,4.5079,U23013,0,AMS,OE-LKK,N/A,1678635124,3904,8950 ft,8950 ft,240 kts,251°,3904 fpm
178,A320,U2,EZY,0,EZY28CR,SOF,0,78,406D8E,2f7f3c86,51.1522,-0.1691,U28977,1,LGW,G-EZOI,N/A,1678635124,0,0 ft,0 ft,0 kt,78°,0 fpm
179,A320,U2,EZY,4450,EJU12CU,BER,157,284,440005,2f7f3cad,46.2113,6.0508,U21593,0,GVA,OE-ING,N/A,1678635123,2176,4450 ft,4450 ft,157 kts,284°,2176 fpm
180,A320,U2,EZY,4175,EJU81JL,VCE,237,264,4404A4,2f7f3e18,53.3171,-2.4044,U21110,0,MAN,OE-ICL,N/A,1678635123,3840,4175 ft,4175 ft,237 kts,264°,3840 fpm
181,A320,U2,EZY,0,EZS68GY,BSL,12,87,4B1A28,2f7f3e72,40.4887,-3.5798,U21116,1,MAD,HB-JXO,N/A,1678635124,0,0 ft,0 ft,12 kts,87°,0 fpm
182,A319,U2,EZY,0,EZY39HW,JER,0,78,405638,2f7f3e78,51.1529,-0.1693,U2895,1,LGW,G-EZDJ,N/A,1678635123,0,0 ft,0 ft,0 kt,78°,0 fpm
183,A320,U2,EZY,15000,EZY609H,GLA,378,51,40643D,2f7f3eb8,55.1225,-5.0392,U2465,0,BFS,G-EZUC,N/A,1678635122,0,15000 ft,150 FL,378 kts,51°,0 fpm
184,A320,U2,EZY,0,EZY51WR,BRS,9,16,406752,2f7f3eea,46.2494,6.1274,U26150,1,GVA,G-EZWA,N/A,1678635124,0,0 ft,0 ft,9 kts,16°,0 fpm
185,A320,U2,EZY,0,EJU52UB,OPO,16,358,4402E8,2f7f3f64,32.6998,-16.7718,U27588,1,FNC,OE-INM,N/A,1678635124,0,0 ft,0 ft,16 kts,358°,0 fpm
186,A320,U2,EZY,0,EZY71KV,LPA,0,78,406753,2f7f40d0,51.1528,-0.1702,U28693,1,LGW,G-EZWB,N/A,1678635123,0,0 ft,0 ft,0 kt,78°,0 fpm
187,A320,U2,EZY,0,EJU59HE,PMI,3,247,440095,2f7f40dc,52.3596,13.5099,U25807,1,BER,OE-IJK,N/A,1678635121,0,0 ft,0 ft,3 kts,247°,0 fpm
188,A319,U2,EZY,0,EZY15TH,LGW,22,331,400FE3,2f7f41aa,40.4713,-3.566,U28278,1,MAD,G-EZBT,N/A,1678635124,0,0 ft,0 ft,22 kts,331°,0 fpm
189,A320,U2,EZY,0,EJU58KA,CPH,13,168,4400EB,2f7f438f,45.6129,8.7252,U22655,1,MXP,OE-IVT,N/A,1678635123,0,0 ft,0 ft,13 kts,168°,0 fpm
190,A21N,U2,EZY,0,EJU57NJ,MXP,0,36,440614,2f7f43b2,50.1038,14.2675,U22582,1,PRG,OE-ISC,N/A,1678635115,0,0 ft,0 ft,0 kt,36°,0 fpm
191,A320,N/A,EZY,0,N/A,N/A,10,259,440198,2f7f43c1,51.1512,-0.1884,N/A,1,LGW,OE-IZW,N/A,1678635123,0,0 ft,0 ft,10 kts,259°,0 fpm
192,A320,U2,EZY,0,EZY98RU,STN,0,340,406E66,2f7f43de,55.9496,-3.3586,U2234,1,EDI,G-EZOU,N/A,1678635090,0,0 ft,0 ft,0 kt,340°,0 fpm
193,A20N,U2,EZY,0,EZY67GM,CDG,1,180,407794,2f7f44b6,53.3597,-2.2763,U21931,1,MAN,G-UZLB,N/A,1678635124,0,0 ft,0 ft,1 kt,180°,0 fpm
