origin_airport;destination_airport_icao;destination_airport_iata;destination_airport_name;destination_airport_shortName;destination_airport_municipalityName;destination_airport_location;destination_airport_countryCode;daily_flights
EGCC;;AMS;Amsterdam Schiphol, Amsterdam;Schiphol;Amsterdam;{'lat': 52.3086, 'lon': 4.763889};NL;7.86
EGCC;;TFS;Tenerife South, Tenerife Island;Tenerife South;Tenerife Island;{'lat': 28.0445, 'lon': -16.5725};ES;7.0
EGCC;;CDG;Charles de Gaulle, Paris;Charles de Gaulle;Paris;{'lat': 49.0128, 'lon': 2.549999};FR;6.43
EGCC;;ALC;Alicante, Alicante;Alicante;;{'lat': 38.2822, 'lon': -0.558156};ES;5.0
EGCC;;GVA;Geneva Cointrin, Geneva;Cointrin;Geneva;{'lat': 46.2381, 'lon': 6.10895};CH;4.7
EGCC;;ACE;Lanzarote, Lanzarote Island;Lanzarote;Lanzarote Island;{'lat': 28.9455, 'lon': -13.605199};ES;4.14
EGCC;;BCN;Barcelona, Barcelona;Barcelona;;{'lat': 41.2971, 'lon': 2.078459};ES;3.71
EGCC;;BFS;Belfast, Belfast;Belfast;;{'lat': 54.6575, 'lon': -6.215829};GB;3.57
EGCC;;CPH;Copenhagen Kastrup, Copenhagen;Kastrup;Copenhagen;{'lat': 55.6179, 'lon': 12.656};DK;3.43
EGCC;;KEF;Keflavik, Reykjavik;Keflavik;Reykjavik;{'lat': 63.985, 'lon': -22.6056};IS;3.14
EGCC;;AGP;Málaga, Málaga;Málaga;;{'lat': 36.6749, 'lon': -4.49911};ES;3.0
EGCC;;MUC;Munich, Munich;Munich;;{'lat': 48.3538, 'lon': 11.7861};DE;3.0
EGCC;;IOM;Isle of Man, Castletown;Isle of Man;Castletown;{'lat': 54.0833, 'lon': -4.623889};IM;2.86
EGCC;;LIS;Lisbon Portela, Lisbon;Portela;Lisbon;{'lat': 38.7813, 'lon': -9.135919};PT;2.86
EGCC;;MXP;Malpensa, Milan;Malpensa;Milan;{'lat': 45.6306, 'lon': 8.72811};IT;2.57
EGCC;;FUE;Fuerteventura, Fuerteventura Island;Fuerteventura;Fuerteventura Island;{'lat': 28.4527, 'lon': -13.8638};ES;2.14
EGCC;;PRG;Ruzyn, Prague;Ruzyn;Prague;{'lat': 50.1008, 'lon': 14.26};CZ;2.14
EGCC;;LPA;Gran Canaria, Gran Canaria Island;Gran Canaria;Gran Canaria Island;{'lat': 27.9319, 'lon': -15.386599};ES;2.0
EGCC;;FAO;Faro, Faro;Faro;;{'lat': 37.0144, 'lon': -7.965909};PT;1.86
EGCC;;AYT;Antalya, Antalya;Antalya;;{'lat': 36.8987, 'lon': 30.8005};TR;1.71
EGCC;;BER;Berlin Brandenburg, Berlin;Brandenburg;Berlin;{'lat': 52.35139, 'lon': 13.493889};DE;1.71
EGCC;;KRK;John Paul II   Kraków-Balice, Kraków;John Paul II   -Balice;Kraków;{'lat': 50.0777, 'lon': 19.7848};PL;1.71
EGCC;;RAK;Menara, Marrakech;Menara;Marrakech;{'lat': 31.6069, 'lon': -8.036299};MA;1.43
EGCC;;AGA;Al Massira, Agadir;Al Massira;Agadir;{'lat': 30.325, 'lon': -9.413069};MA;1.29
EGCC;;FNC;Madeira, Funchal;Madeira;Funchal;{'lat': 32.6979, 'lon': -16.7745};PT;1.29
EGCC;;PMI;Palma De Mallorca, Palma De Mallorca;Palma De Mallorca;;{'lat': 39.5517, 'lon': 2.73881};ES;1.29
